                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4939,                 1.9937,                 2.8383,                0.71949,                0.49791,                0.58153,                0.31058,                 1.7419,                 1.3686,                 2.0278,               0.070024,              0.0033307,              0.0033307
                      2,                 1.8268,                 1.5965,                 2.0179,                0.72416,                0.52431,                0.61583,                0.34822,                 1.5363,                 1.2768,                 1.7539,                0.03998,                0.00662,                0.00662
                      3,                 1.7483,                 1.6062,                 1.9199,                0.67199,                0.49385,                0.56503,                0.31884,                 1.5697,                 1.3744,                 1.7602,              0.0098915,              0.0098653,              0.0098653
                      4,                 1.6985,                 1.5971,                 1.8587,                0.71534,                0.53805,                0.61912,                0.36048,                 1.4174,                 1.3169,                 1.6064,              0.0098018,              0.0098018,              0.0098018
                      5,                 1.6269,                 1.5179,                 1.7895,                0.73168,                0.54522,                0.63494,                0.37872,                 1.3864,                 1.1898,                 1.5801,              0.0098018,              0.0098018,              0.0098018
                      6,                 1.5864,                 1.4671,                 1.7458,                0.74671,                0.56546,                0.65473,                 0.3988,                 1.3452,                  1.109,                 1.5497,              0.0097357,              0.0097357,              0.0097357
                      7,                 1.5568,                 1.4306,                 1.7171,                0.75361,                0.58072,                0.67074,                0.41263,                 1.2982,                 1.0857,                 1.5027,              0.0096697,              0.0096697,              0.0096697
                      8,                 1.5314,                    1.4,                 1.6911,                0.75601,                0.58864,                0.67949,                0.42544,                 1.2745,                 1.0393,                  1.483,              0.0096036,              0.0096036,              0.0096036
                      9,                 1.5162,                 1.3761,                 1.6773,                0.76692,                0.58944,                0.68553,                0.43376,                  1.253,                 1.0118,                 1.4683,              0.0095375,              0.0095375,              0.0095375
                     10,                 1.5012,                 1.3605,                  1.664,                0.76807,                0.59786,                0.69431,                0.44001,                 1.2399,                 1.0017,                 1.4598,              0.0094715,              0.0094715,              0.0094715
                     11,                 1.4853,                 1.3491,                 1.6504,                0.77366,                0.60667,                0.70136,                0.44893,                 1.2257,                0.97417,                 1.4458,              0.0094054,              0.0094054,              0.0094054
                     12,                 1.4751,                 1.3361,                 1.6342,                0.77582,                0.60936,                0.70599,                0.45214,                 1.2173,                0.96269,                 1.4361,              0.0093393,              0.0093393,              0.0093393
