                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9453,                 1.9705,                 1.6708,                0.69874,                0.54357,                0.61823,                0.33963,                 1.4895,                 1.4104,                 1.3321,               0.070047,              0.0033281,              0.0033281
                      2,                 1.6479,                 1.5647,                 1.4644,                 0.6718,                0.52294,                0.58238,                0.32251,                 1.5085,                 1.4608,                 1.3424,               0.040014,              0.0066284,              0.0066284
                      3,                 1.6886,                 1.6177,                 1.5107,                0.64582,                0.47136,                0.52455,                0.27578,                 1.6492,                 1.5306,                 1.4585,              0.0099481,              0.0098957,              0.0098957
                      4,                 1.6853,                 1.6191,                 1.5311,                0.66998,                0.49133,                0.55279,                0.31017,                 1.5283,                 1.6106,                 1.4283,              0.0098514,              0.0098514,              0.0098514
                      5,                 1.6283,                 1.5475,                 1.4942,                0.70174,                0.52391,                0.60374,                0.35312,                 1.4319,                 1.3228,                 1.3354,              0.0098514,              0.0098514,              0.0098514
                      6,                 1.5922,                 1.5024,                 1.4722,                0.72726,                0.55526,                0.63894,                0.38018,                 1.3747,                 1.2258,                 1.3047,              0.0098018,              0.0098018,              0.0098018
                      7,                 1.5691,                 1.4684,                 1.4563,                0.72857,                0.54505,                 0.6325,                0.38379,                 1.3522,                 1.2085,                 1.2858,              0.0097523,              0.0097523,              0.0097523
                      8,                 1.5475,                 1.4387,                 1.4402,                0.73055,                0.56996,                0.65696,                0.40562,                 1.3188,                 1.1318,                 1.2604,              0.0097027,              0.0097027,              0.0097027
                      9,                 1.5369,                  1.424,                  1.435,                0.75524,                 0.5861,                0.67791,                0.41726,                 1.3067,                 1.0853,                 1.2487,              0.0096531,              0.0096531,              0.0096531
                     10,                 1.5231,                 1.4023,                 1.4228,                0.76228,                0.58335,                0.68138,                0.42421,                 1.2819,                 1.0842,                 1.2386,              0.0096036,              0.0096036,              0.0096036
                     11,                  1.516,                 1.3986,                  1.422,                0.76619,                0.58944,                0.68943,                0.43274,                 1.2671,                   1.05,                 1.2268,               0.009554,               0.009554,               0.009554
                     12,                 1.5038,                 1.3826,                 1.4127,                0.76345,                 0.6009,                  0.697,                 0.4379,                 1.2598,                 1.0245,                 1.2199,              0.0095045,              0.0095045,              0.0095045
                     13,                 1.4984,                 1.3714,                 1.4105,                0.76566,                 0.6025,                0.70155,                0.44631,                 1.2387,                 1.0111,                 1.2031,               0.009455,               0.009455,               0.009455
                     14,                 1.4948,                 1.3637,                 1.4058,                0.77476,                0.60409,                0.70633,                0.45223,                 1.2227,                0.99819,                 1.1951,              0.0094054,              0.0094054,              0.0094054
                     15,                 1.4883,                 1.3554,                 1.4017,                0.77357,                0.61246,                0.71014,                0.45389,                 1.2239,                0.98895,                 1.1931,              0.0093559,              0.0093559,              0.0093559
                     16,                  1.481,                 1.3513,                 1.3975,                0.77061,                0.61479,                0.71348,                0.45738,                 1.2109,                0.97821,                 1.1877,              0.0093063,              0.0093063,              0.0093063
                     17,                 1.4784,                 1.3457,                 1.3952,                0.76938,                0.61979,                0.71564,                0.46019,                 1.2042,                0.96888,                 1.1819,              0.0092568,              0.0092568,              0.0092568
                     18,                 1.4719,                 1.3389,                 1.3925,                0.78356,                  0.616,                0.72011,                0.46354,                 1.1959,                0.96107,                 1.1775,              0.0092072,              0.0092072,              0.0092072
                     19,                 1.4708,                 1.3345,                 1.3878,                0.77766,                0.62221,                0.72113,                0.46562,                 1.1911,                0.96012,                 1.1734,              0.0091577,              0.0091577,              0.0091577
                     20,                 1.4643,                 1.3263,                 1.3832,                0.77303,                0.62496,                0.72302,                0.46855,                 1.1856,                0.95231,                 1.1716,              0.0091081,              0.0091081,              0.0091081
                     21,                 1.4605,                 1.3232,                  1.384,                0.77841,                0.62412,                0.72471,                0.46959,                 1.1827,                 0.9476,                 1.1686,              0.0090586,              0.0090586,              0.0090586
                     22,                 1.4628,                 1.3221,                 1.3834,                0.78487,                0.61918,                0.72397,                0.46982,                 1.1808,                0.94202,                 1.1674,               0.009009,               0.009009,               0.009009
                     23,                 1.4547,                 1.3172,                 1.3781,                0.78411,                 0.6222,                0.72563,                0.47126,                 1.1766,                0.93923,                 1.1657,              0.0089595,              0.0089595,              0.0089595
                     24,                 1.4504,                 1.3138,                 1.3783,                0.77938,                0.62555,                0.72651,                0.47235,                 1.1748,                 0.9351,                 1.1652,              0.0089099,              0.0089099,              0.0089099
                     25,                 1.4506,                 1.3133,                 1.3791,                0.78029,                0.62714,                0.72776,                0.47378,                 1.1717,                0.93162,                 1.1634,              0.0088604,              0.0088604,              0.0088604
                     26,                 1.4456,                 1.3073,                 1.3728,                0.78388,                0.62747,                0.72911,                 0.4756,                 1.1695,                0.92819,                 1.1619,              0.0088108,              0.0088108,              0.0088108
                     27,                  1.442,                  1.302,                  1.371,                0.78434,                0.62806,                0.72966,                0.47699,                 1.1675,                0.92612,                 1.1603,              0.0087612,              0.0087612,              0.0087612
                     28,                 1.4452,                 1.3014,                 1.3698,                0.78124,                0.63003,                0.73016,                 0.4777,                 1.1661,                0.92398,                 1.1594,              0.0087117,              0.0087117,              0.0087117
                     29,                 1.4438,                 1.3002,                 1.3698,                0.78023,                0.63054,                0.73046,                0.47822,                 1.1652,                0.92248,                 1.1586,              0.0086622,              0.0086622,              0.0086622
                     30,                 1.4385,                 1.2989,                 1.3697,                0.77861,                0.63351,                0.73088,                0.47872,                 1.1641,                0.92093,                 1.1576,              0.0086126,              0.0086126,              0.0086126
