                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6178,                 2.8887,                 2.2595,                0.29076,                0.21434,                0.16131,                0.06526,                 2.1086,                 2.6092,                 1.8761,               0.070047,              0.0033281,              0.0033281
                      2,                 2.0315,                 2.2139,                 1.7539,                0.50578,                0.33966,                0.35502,                0.17577,                 1.8205,                 1.9737,                 1.6176,               0.040014,              0.0066284,              0.0066284
                      3,                 1.9286,                 2.0134,                 1.6764,                0.54999,                0.39157,                0.41582,                0.20621,                 1.7787,                 1.8315,                 1.5824,              0.0099481,              0.0098957,              0.0098957
                      4,                 1.8505,                 1.8851,                 1.6306,                0.61245,                0.43133,                0.47845,                0.25947,                 1.5944,                 1.8016,                 1.4702,              0.0098514,              0.0098514,              0.0098514
                      5,                 1.7798,                  1.782,                 1.5805,                0.64735,                0.46099,                0.52274,                0.28757,                 1.5497,                 1.6076,                 1.4122,              0.0098514,              0.0098514,              0.0098514
                      6,                 1.7343,                 1.7195,                 1.5489,                 0.6693,                0.47415,                0.54807,                0.31357,                 1.5039,                 1.4107,                 1.3815,              0.0098018,              0.0098018,              0.0098018
                      7,                  1.703,                 1.6762,                 1.5283,                0.67162,                0.48787,                0.56278,                 0.3284,                 1.4518,                 1.3595,                  1.333,              0.0097523,              0.0097523,              0.0097523
                      8,                  1.675,                 1.6359,                 1.5067,                0.69278,                0.49445,                0.57578,                0.33682,                 1.4332,                 1.3115,                 1.3274,              0.0097027,              0.0097027,              0.0097027
                      9,                 1.6617,                 1.6151,                 1.4983,                0.69378,                0.51059,                0.59166,                 0.3471,                 1.4095,                 1.2894,                 1.3015,              0.0096531,              0.0096531,              0.0096531
                     10,                 1.6439,                 1.5854,                 1.4804,                0.70457,                  0.522,                0.60448,                0.36155,                 1.3771,                 1.2333,                 1.2917,              0.0096036,              0.0096036,              0.0096036
                     11,                  1.633,                 1.5794,                 1.4785,                0.69838,                0.53935,                0.61552,                0.37092,                 1.3639,                 1.2015,                 1.2792,               0.009554,               0.009554,               0.009554
                     12,                 1.6182,                 1.5554,                 1.4689,                0.71314,                0.53981,                0.62297,                0.37731,                 1.3509,                 1.1874,                 1.2707,              0.0095045,              0.0095045,              0.0095045
                     13,                   1.61,                 1.5408,                 1.4636,                0.70768,                0.55114,                0.63026,                0.38456,                 1.3325,                 1.1605,                 1.2566,               0.009455,               0.009455,               0.009455
                     14,                 1.6016,                 1.5294,                 1.4566,                0.70878,                0.55789,                0.63588,                0.39039,                 1.3192,                  1.149,                 1.2431,              0.0094054,              0.0094054,              0.0094054
                     15,                 1.5924,                 1.5147,                 1.4493,                0.72221,                0.55323,                 0.6396,                0.39612,                 1.3064,                  1.126,                 1.2381,              0.0093559,              0.0093559,              0.0093559
                     16,                 1.5858,                 1.5068,                 1.4451,                0.72527,                 0.5591,                0.64427,                0.39865,                 1.3009,                 1.1125,                 1.2326,              0.0093063,              0.0093063,              0.0093063
                     17,                 1.5807,                 1.4975,                  1.441,                0.73603,                0.55921,                0.64823,                0.40159,                 1.2956,                 1.1014,                 1.2278,              0.0092568,              0.0092568,              0.0092568
                     18,                 1.5735,                 1.4944,                 1.4361,                0.73082,                 0.5648,                0.65107,                 0.4055,                 1.2871,                 1.0947,                 1.2236,              0.0092072,              0.0092072,              0.0092072
                     19,                 1.5696,                 1.4826,                 1.4334,                0.73909,                0.56513,                0.65528,                0.40895,                 1.2771,                 1.0834,                 1.2178,              0.0091577,              0.0091577,              0.0091577
                     20,                 1.5625,                 1.4736,                 1.4249,                 0.7355,                0.56947,                0.65776,                0.41293,                 1.2706,                 1.0718,                  1.213,              0.0091081,              0.0091081,              0.0091081
                     21,                 1.5572,                 1.4703,                 1.4258,                0.74675,                 0.5676,                 0.6597,                0.41365,                  1.266,                 1.0657,                 1.2103,              0.0090586,              0.0090586,              0.0090586
                     22,                 1.5572,                 1.4642,                 1.4248,                0.74484,                0.57177,                0.66129,                0.41479,                 1.2637,                 1.0609,                 1.2083,               0.009009,               0.009009,               0.009009
                     23,                 1.5502,                 1.4545,                 1.4166,                0.74015,                0.57674,                0.66303,                0.41761,                 1.2596,                 1.0533,                 1.2044,              0.0089595,              0.0089595,              0.0089595
                     24,                 1.5438,                 1.4501,                 1.4149,                0.74434,                0.57514,                0.66512,                0.41885,                 1.2555,                 1.0491,                 1.2016,              0.0089099,              0.0089099,              0.0089099
                     25,                 1.5417,                 1.4482,                 1.4139,                0.74221,                0.57981,                0.66634,                0.41983,                 1.2529,                 1.0444,                 1.2001,              0.0088604,              0.0088604,              0.0088604
                     26,                 1.5367,                 1.4395,                 1.4077,                0.74824,                0.57943,                0.66785,                0.42117,                 1.2495,                 1.0399,                 1.1975,              0.0088108,              0.0088108,              0.0088108
                     27,                  1.534,                  1.434,                 1.4069,                0.74783,                0.58006,                0.66885,                 0.4225,                 1.2474,                 1.0375,                 1.1962,              0.0087612,              0.0087612,              0.0087612
                     28,                 1.5354,                 1.4328,                 1.4039,                0.74843,                0.58019,                0.66858,                0.42296,                 1.2456,                 1.0353,                 1.1948,              0.0087117,              0.0087117,              0.0087117
                     29,                 1.5316,                 1.4288,                 1.4042,                0.74679,                0.58033,                0.66987,                0.42362,                  1.244,                 1.0332,                 1.1937,              0.0086622,              0.0086622,              0.0086622
